model_id,variable,vif,comparison_id,native_model_id,sample_mode,native_rows,common_rows
M4_real_interest_robustness__M4_to_M7_hc_common_sample,inflation_gdp_deflator_pct,8.14230889753945,M4_to_M7_hc_common_sample,M4_real_interest_robustness,common_sample,164,151
M4_real_interest_robustness__M4_to_M7_hc_common_sample,trade_pct_gdp,3.747689229766732,M4_to_M7_hc_common_sample,M4_real_interest_robustness,common_sample,164,151
M4_real_interest_robustness__M4_to_M7_hc_common_sample,ln_gdppc,12.22875186864227,M4_to_M7_hc_common_sample,M4_real_interest_robustness,common_sample,164,151
M4_real_interest_robustness__M4_to_M7_hc_common_sample,xr_dep_pct,1.0952307999630824,M4_to_M7_hc_common_sample,M4_real_interest_robustness,common_sample,164,151
M7_human_capital_robustnessa_from_M4_real_interest_robustness__M4_to_M7_hc_common_sample,broad_money_growth_pct,3.9619794704139224,M4_to_M7_hc_common_sample,M7_human_capital_robustnessa_from_M4_real_interest_robustness,common_sample,151,151
M7_human_capital_robustnessa_from_M4_real_interest_robustness__M4_to_M7_hc_common_sample,real_interest_rate_pct,7.646837252186435,M4_to_M7_hc_common_sample,M7_human_capital_robustnessa_from_M4_real_interest_robustness,common_sample,151,151
M7_human_capital_robustnessa_from_M4_real_interest_robustness__M4_to_M7_hc_common_sample,inflation_gdp_deflator_pct,8.812596784875169,M4_to_M7_hc_common_sample,M7_human_capital_robustnessa_from_M4_real_interest_robustness,common_sample,151,151
M7_human_capital_robustnessa_from_M4_real_interest_robustness__M4_to_M7_hc_common_sample,trade_pct_gdp,4.647617171766832,M4_to_M7_hc_common_sample,M7_human_capital_robustnessa_from_M4_real_interest_robustness,common_sample,151,151
M7_human_capital_robustnessa_from_M4_real_interest_robustness__M4_to_M7_hc_common_sample,ln_gdppc,179.50110587495882,M4_to_M7_hc_common_sample,M7_human_capital_robustnessa_from_M4_real_interest_robustness,common_sample,151,151
M7_human_capital_robustnessa_from_M4_real_interest_robustness__M4_to_M7_hc_common_sample,xr_dep_pct,1.096373402042768,M4_to_M7_hc_common_sample,M7_human_capital_robustnessa_from_M4_real_interest_robustness,common_sample,151,151
M7_human_capital_robustnessa_from_M4_real_interest_robustness__M4_to_M7_hc_common_sample,hc_human_capital_index,153.3745507181433,M4_to_M7_hc_common_sample,M7_human_capital_robustnessa_from_M4_real_interest_robustness,common_sample,151,151
